product_id,product_name,category_id,supplier_id,unit_cost,list_price,status
1,Essential Power Bank 001,1,24,342.48,516.14,Discontinued
2,Eco Air Fryer 002,2,12,185.69,242.24,Active
3,Ultra Printer 003,3,4,476.29,716.0,Active
4,Classic Water Bottle 004,4,13,162.5,297.81,Active
5,Pro Makeup Kit 005,5,22,193.54,281.43,Active
6,Ultra Sunglasses 006,6,14,10.68,17.98,Active
7,Ultra Building Set 007,7,17,157.34,224.85,Active
8,Premium Jump Starter 008,8,5,176.29,302.72,Active
9,Premium Tablet Stand 009,1,20,33.28,60.15,Active
10,Smart Cookware Set 010,2,8,309.13,562.05,Active
11,Advanced Notebook Pack 011,3,24,586.9,921.21,Active
12,Advanced Camping Chair 012,4,5,85.4,151.45,Discontinued
13,Essential Perfume 013,5,7,179.96,268.03,Active
14,Essential Sunglasses 014,6,15,35.41,49.04,Active
15,Wireless Remote Car 015,7,1,107.98,135.44,Active
16,Pro Car Vacuum 016,8,8,276.21,357.01,Active
17,Advanced Webcam 017,1,9,254.17,428.03,Discontinued
18,Advanced Storage Set 018,2,8,78.79,103.07,Discontinued
19,Classic Calculator 019,3,12,282.88,477.34,Active
20,Classic Resistance Bands 020,4,2,241.77,318.06,Active
21,Essential Bath Set 021,5,7,40.2,54.68,Discontinued
22,Pro Sunglasses 022,6,8,179.68,316.88,Active
23,Essential Board Game 023,7,2,174.57,315.24,Active
24,Classic Tool Set 024,8,6,158.18,279.79,Active
25,Classic Headphones 025,1,6,443.76,625.31,Discontinued
26,Classic Lamp 026,2,10,66.86,95.48,Active
27,Essential Desk Chair 027,3,19,450.05,578.0,Discontinued
28,Essential Camping Chair 028,4,17,24.61,38.26,Active
29,Wireless Skin Care Set 029,5,3,170.75,237.53,Active
30,Eco Jacket 030,6,19,140.07,210.32,Active
31,Eco Doll 031,7,9,46.77,69.57,Active
32,Premium Phone Mount 032,8,15,10.91,17.7,Active
33,Essential Webcam 033,1,3,240.0,319.07,Active
34,Eco Coffee Maker 034,2,3,110.47,167.13,Active
35,Essential Desk Chair 035,3,20,402.38,636.87,Active
36,Compact Dumbbell Set 036,4,5,267.8,454.04,Active
37,Compact Perfume 037,5,9,181.1,248.5,Active
38,Advanced Backpack 038,6,17,200.12,351.74,Active
39,Classic Science Kit 039,7,21,12.72,18.45,Active
40,Compact Jump Starter 040,8,21,239.26,378.27,Discontinued
41,Smart Keyboard 041,1,18,56.98,101.42,Active
42,Smart Coffee Maker 042,2,18,210.14,281.35,Active
43,Compact Whiteboard 043,3,2,539.89,932.75,Active
44,Eco Backpack 044,4,12,202.74,296.45,Discontinued
45,Ultra Perfume 045,5,20,216.96,398.28,Active
46,Smart T-Shirt 046,6,14,164.68,238.67,Discontinued
47,Eco Science Kit 047,7,22,32.86,54.9,Discontinued
48,Advanced Cleaning Kit 048,8,2,70.27,126.56,Active
49,Eco Webcam 049,1,10,35.06,47.89,Active
50,Pro Vacuum 050,2,9,132.63,206.32,Active
51,Pro Desk Organizer 051,3,1,111.25,203.31,Active
52,Pro Helmet 052,4,2,108.94,187.58,Discontinued
53,Essential Skin Care Set 053,5,20,99.99,159.58,Active
54,Classic Jacket 054,6,2,119.18,206.65,Active
55,Classic Building Set 055,7,12,171.05,308.31,Active
56,Pro Seat Cover 056,8,22,166.22,274.29,Active
57,Compact Monitor 057,1,13,106.53,175.66,Discontinued
58,Ultra Vacuum 058,2,22,151.04,264.36,Active
59,Eco Calculator 059,3,10,472.53,762.66,Active
60,Advanced Water Bottle 060,4,15,205.28,319.56,Active
61,Pro Makeup Kit 061,5,22,131.77,214.75,Active
62,Eco Backpack 062,6,3,57.17,78.29,Active
63,Eco Art Set 063,7,2,111.97,191.59,Discontinued
64,Wireless Cleaning Kit 064,8,14,232.12,343.63,Discontinued
65,Ultra Headphones 065,1,8,404.38,714.24,Active
66,Classic Cookware Set 066,2,25,73.92,134.89,Discontinued
67,Essential Shredder 067,3,2,550.89,728.73,Active
68,Essential Resistance Bands 068,4,15,285.41,509.42,Discontinued
69,Advanced Electric Shaver 069,5,18,187.45,287.7,Active
70,Eco Backpack 070,6,25,170.82,266.95,Active
71,Advanced Building Set 071,7,9,129.87,180.61,Active
72,Essential Phone Mount 072,8,11,51.17,71.06,Active
73,Eco Keyboard 073,1,23,201.32,291.62,Discontinued
74,Smart Cookware Set 074,2,14,294.02,436.23,Active
75,Wireless Calculator 075,3,25,288.8,524.36,Active
76,Classic Helmet 076,4,25,165.16,279.25,Active
77,Eco Makeup Kit 077,5,16,112.34,142.38,Active
78,Classic T-Shirt 078,6,22,186.51,336.04,Active
79,Wireless Board Game 079,7,13,19.69,29.68,Discontinued
80,Smart Seat Cover 080,8,6,126.28,173.89,Active
81,Classic Power Bank 081,1,11,344.6,602.76,Active
82,Advanced Blender 082,2,3,265.92,340.71,Active
83,Pro Desk Chair 083,3,8,453.77,825.76,Active
84,Wireless Camping Chair 084,4,1,77.66,119.14,Active
85,Eco Bath Set 085,5,19,176.67,302.13,Active
86,Wireless Running Shoes 086,6,20,173.34,233.71,Active
87,Wireless Board Game 087,7,4,167.56,267.34,Discontinued
88,Eco Phone Mount 088,8,13,192.73,336.96,Active
89,Compact Keyboard 089,1,4,363.4,577.65,Active
90,Essential Storage Set 090,2,12,236.61,305.55,Active
91,Classic Filing Cabinet 091,3,1,67.8,123.83,Discontinued
92,Ultra Helmet 092,4,23,59.43,92.89,Active
93,Essential Bath Set 093,5,20,119.43,208.46,Active
94,Eco Running Shoes 094,6,11,68.57,104.26,Discontinued
95,Wireless Card Game 095,7,19,63.87,98.78,Active
96,Advanced Cleaning Kit 096,8,6,118.71,166.79,Active
97,Compact Headphones 097,1,20,244.57,333.75,Active
98,Classic Lamp 098,2,24,200.98,280.21,Discontinued
99,Advanced Filing Cabinet 099,3,21,476.8,622.62,Active
100,Eco Fitness Tracker 100,4,13,201.88,297.05,Active
101,Essential Massager 101,5,14,91.84,139.8,Active
102,Eco Running Shoes 102,6,9,161.47,232.41,Active
103,Eco Art Set 103,7,7,53.39,85.62,Active
104,Eco Seat Cover 104,8,4,78.97,107.21,Active
105,Essential Monitor 105,1,23,141.58,259.74,Active
106,Ultra Lamp 106,2,23,49.37,62.08,Active
107,Advanced Filing Cabinet 107,3,16,207.72,379.98,Active
108,Pro Dumbbell Set 108,4,16,125.01,161.82,Active
109,Ultra Makeup Kit 109,5,5,26.78,37.46,Discontinued
110,Wireless Jeans 110,6,20,172.9,255.59,Discontinued
111,Wireless Card Game 111,7,10,58.44,94.83,Active
112,Eco Cleaning Kit 112,8,25,90.57,117.62,Active
113,Essential Keyboard 113,1,6,91.53,136.85,Discontinued
114,Smart Cookware Set 114,2,10,111.52,158.32,Discontinued
115,Eco Desk Organizer 115,3,3,473.76,769.88,Active
116,Pro Backpack 116,4,14,197.11,353.82,Active
117,Smart Electric Shaver 117,5,3,199.4,320.44,Active
118,Pro Sunglasses 118,6,15,154.62,258.19,Active
119,Essential Art Set 119,7,17,81.61,131.3,Discontinued
120,Premium Seat Cover 120,8,24,16.07,22.29,Active
121,Compact Headphones 121,1,25,349.32,473.37,Discontinued
122,Ultra Storage Set 122,2,9,227.65,351.73,Active
123,Premium Calculator 123,3,16,203.32,335.9,Active
124,Classic Water Bottle 124,4,11,92.16,167.47,Active
125,Pro Massager 125,5,15,67.59,89.19,Discontinued
126,Smart Sunglasses 126,6,17,96.78,131.87,Active
127,Advanced Art Set 127,7,20,138.0,189.35,Active
128,Advanced Tool Set 128,8,10,45.88,84.14,Active
129,Ultra Power Bank 129,1,23,259.11,409.74,Active
130,Pro Lamp 130,2,8,332.27,544.47,Active
131,Compact Desk Organizer 131,3,16,252.22,388.29,Discontinued
132,Advanced Camping Chair 132,4,8,120.01,216.39,Active
133,Compact Toothbrush 133,5,3,88.93,153.19,Active
134,Compact Backpack 134,6,1,185.87,297.01,Discontinued
135,Advanced Art Set 135,7,5,65.4,103.41,Discontinued
136,Premium Cleaning Kit 136,8,15,314.0,437.49,Discontinued
137,Classic Headphones 137,1,8,160.22,245.74,Discontinued
138,Ultra Lamp 138,2,13,338.22,448.39,Active
139,Advanced Notebook Pack 139,3,4,317.94,484.59,Active
140,Ultra Dumbbell Set 140,4,14,145.09,265.74,Active
